"BooksReaderID","BookID","ReaderID","DateIssued","ReturnedDate","Type"
"914","1419","111","2005-02-14 00:00:00.0","null","Copy"
"915","1417","111","2005-02-14 00:00:00.0","null","Copy"
"920","3461","22","2005-03-01 00:00:00.0","null","Copy"
"929","2742","73","2005-05-12 00:00:00.0","null","Copy"
"931","3499","11","2005-06-30 00:00:00.0","null","Copy"
"933","3507","102","2005-11-25 00:00:00.0","null","Copy"
"937","3512","42","2006-06-02 00:00:00.0","null","Copy"
"939","3515","42","2006-03-02 00:00:00.0","null","Copy"
"944","3518","101","2006-05-08 00:00:00.0","null","Copy"
"945","3519","8","2006-05-27 00:00:00.0","null","Copy"
"952","3526","94","2006-08-04 00:00:00.0","null","Copy"
"954","3529","93","2006-10-26 00:00:00.0","null","Copy"
"955","3530","93","2006-10-26 00:00:00.0","null","Copy"
"956","3532","8","2006-11-02 00:00:00.0","null","Copy"
"957","3531","8","2006-11-02 00:00:00.0","null","Copy"
"960","3548","111","2007-01-16 00:00:00.0","null","Copy"
"961","3549","111","2007-01-16 00:00:00.0","null","Copy"
"962","3550","111","2007-01-16 00:00:00.0","null","Copy"
"963","3551","111","2007-01-16 00:00:00.0","null","Copy"
"964","3552","111","2007-01-16 00:00:00.0","null","Copy"
"965","3547","111","2007-01-16 00:00:00.0","null","Copy"
"967","3223","112","2007-02-15 00:00:00.0","null","Copy"
"969","1507","89","2007-03-07 00:00:00.0","null","Copy"
"970","2578","89","2007-03-13 00:00:00.0","null","Copy"
"972","3559","11","2007-05-30 00:00:00.0","null","Copy"
"977","3340","93","2007-08-01 00:00:00.0","null","Copy"
"978","3555","93","2007-08-01 00:00:00.0","null","Copy"
"979","3488","93","2007-08-01 00:00:00.0","null","Copy"
"980","3506","122","2007-10-04 00:00:00.0","null","Copy"
"981","3545","122","2007-10-04 00:00:00.0","null","Copy"
"982","3542","122","2007-10-04 00:00:00.0","null","Copy"
"983","3504","122","2007-10-04 00:00:00.0","null","Copy"
"984","3546","122","2007-10-04 00:00:00.0","null","Copy"
"986","3566","122","2007-10-05 00:00:00.0","null","Copy"
"987","3568","122","2007-10-05 00:00:00.0","null","Copy"
"988","3569","122","2007-10-05 00:00:00.0","null","Copy"
"993","3599","93","2008-03-07 00:00:00.0","null","Copy"
"994","3606","11","2008-06-03 00:00:00.0","null","Copy"
"995","3614","59","2008-09-19 00:00:00.0","null","Copy"
"996","3618","11","2009-01-19 00:00:00.0","null","Copy"
"1001","1635","23","null","null",""
"1002","3646","23","2010-06-16 00:00:00.0","null","Copy"
"1003","3638","23","2010-06-16 00:00:00.0","null","Copy"
"1004","3644","23","2010-06-16 00:00:00.0","null","Copy"
"1005","3643","42","2010-06-16 00:00:00.0","null","Copy"
"1006","3642","42","2010-06-16 00:00:00.0","null","Copy"
"1007","3636","42","2010-06-16 00:00:00.0","null","Copy"
"1008","3639","42","2010-06-16 00:00:00.0","null","Copy"
"1009","3648","42","2010-06-16 00:00:00.0","null","Copy"
"1010","3649","72","2010-06-24 00:00:00.0","null","Copy"
"1012","3649","42","2010-06-24 00:00:00.0","null","Copy"
"1013","3650","11","2010-06-24 00:00:00.0","null","Copy"
"1014","3649","128","2010-06-24 00:00:00.0","null","Copy"
"1015","3649","129","2010-06-24 00:00:00.0","null","Copy"
"1016","3649","126","2010-06-24 00:00:00.0","null","Copy"
"1017","3649","127","null","null",""
